2048 RL!
iteration: 57670, score: 1392, eps: 0.8520690996537659
iteration: 57764, score: 624, eps: 0.8519087018741478
iteration: 57844, score: 536, eps: 0.8517483361708779
iteration: 57927, score: 548, eps: 0.8515880025375415
iteration: 58070, score: 1184, eps: 0.8514277009677254
iteration: 58168, score: 896, eps: 0.8512674314550173
iteration: 58398, score: 2352, eps: 0.8509469885752837
iteration: 58594, score: 1976, eps: 0.8506266738470701
iteration: 58690, score: 684, eps: 0.8504665645237668
iteration: 58826, score: 1168, eps: 0.8501464419267449
iteration: 58918, score: 596, eps: 0.8499864286402217
iteration: 59079, score: 1368, eps: 0.8498264473531556
iteration: 59147, score: 360, eps: 0.8496664980591475
iteration: 59255, score: 996, eps: 0.8495065807517995
iteration: 59360, score: 752, eps: 0.8493466954247147
iteration: 59465, score: 756, eps: 0.849186842071498
iteration: 59590, score: 936, eps: 0.8490270206857551
iteration: 59706, score: 1020, eps: 0.8487074737911203
iteration: 59814, score: 688, eps: 0.8485477482694466
iteration: 59911, score: 588, eps: 0.848388054689683
iteration: 60036, score: 892, eps: 0.8482283930454417
iteration: 60142, score: 664, eps: 0.8480687633303363
iteration: 60238, score: 608, eps: 0.8479091655379815
iteration: 60393, score: 1348, eps: 0.8477495996619934
iteration: 60517, score: 1064, eps: 0.8474305636335879
iteration: 60668, score: 1320, eps: 0.8472710934684093
iteration: 60723, score: 292, eps: 0.8471116551940746
iteration: 60904, score: 1952, eps: 0.8467928742924277
iteration: 61055, score: 1236, eps: 0.8466335316523643
iteration: 61233, score: 2028, eps: 0.8463149419618894
iteration: 61402, score: 1540, eps: 0.8459964796818067
iteration: 61496, score: 612, eps: 0.8459964796818067
iteration: 61589, score: 584, eps: 0.8458372963047388
iteration: 61664, score: 524, eps: 0.8456781447611627
iteration: 61765, score: 716, eps: 0.8455190250447124
iteration: 61923, score: 1436, eps: 0.845200881067732
iteration: 61984, score: 368, eps: 0.845200881067732
iteration: 62125, score: 1028, eps: 0.8448828643228941
iteration: 62253, score: 908, eps: 0.844723903646627
iteration: 62446, score: 1696, eps: 0.8444060776546044
iteration: 62644, score: 1932, eps: 0.8440883787675558
iteration: 62778, score: 1012, eps: 0.8439295769725111
iteration: 62860, score: 412, eps: 0.8437708069346498
iteration: 63095, score: 2628, eps: 0.8434533621050744
iteration: 63146, score: 232, eps: 0.8432946873006627
iteration: 63259, score: 772, eps: 0.8431360442280387
iteration: 63349, score: 640, eps: 0.8429774328808566
iteration: 63464, score: 748, eps: 0.8428188532527717
iteration: 63544, score: 540, eps: 0.8426603053374412
iteration: 63662, score: 844, eps: 0.842501789128523
